Gene	Filter development - 0h	Filter development - 1h	Filter development - 2h	Filter development - 3h	Filter development - 4h	Filter development - 5h	Filter development - 6h	Filter development - 7h	Filter development - 8h	Filter development - 9h	Filter development - 10h	Filter development - 11h	Filter development - 12h	Filter development - 14h	Filter development - 16h	Filter development - 18h	Filter development - 20h	Filter development - 22h	Filter development - 24h
DDB_G0279457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.671470531238	0.0	0.593143108485	0.311112685341
DDB_G0279459	34.8474857193	6.57896158844	27.2355623863	24.893236236	18.0712806411	9.17059159898	9.24259823194	11.8331659676	20.1976209327	20.4345626756	16.1486148976	23.2039732041	186.443519808	214.616090469	161.911174676	46.8354866563	11.2233512487	5.63549290321	12.3047714043
DDB_G0279461	25.3278249437	57.2903322351	35.2089763175	34.7965025573	37.6359977662	47.9088394731	53.4413131357	46.3226939281	52.9401791281	60.8520053703	67.3334539614	70.567791242	61.2315823834	56.438635792	55.1292433719	31.6584371793	32.2346805533	32.544895106	41.076573131
DDB_G0279463	0.73601669649	5.79612724116	3.99614882874	4.09053667788	5.01733897027	15.7556376951	27.2743095242	25.2151921231	29.9541291533	44.7707161376	34.3089691538	41.8856920424	77.911591053	79.2005377372	88.1362948849	40.0901296486	30.0453019293	22.8972229633	28.5214077946
DDB_G0279465	1.37625697388	0.6697594515	2.50006953753	1.643485593	0.788336476639	3.22432171879	2.62016709508	3.36231001306	5.55880438014	4.62253840563	3.7878236492	2.12773520243	5.09379517737	3.77591664733	4.65644558448	18.7152993499	17.3262081775	29.4548204505	9.8920787362
DDB_G0279467	1.18507450239	13.1142647376	2.90840045941	6.76214109936	2.3588595759	3.31346504732	0.0	0.734379603365	0.0	2.23891473462	2.79437155448	7.48968819168	6.07407880578	8.16288857908	3.74443387426	3.68376490564	11.1386630315	6.65953508403	7.00566889692
DDB_G0279469	0.0	0.97469058389	0.0	1.47833583251	0.0	0.0	0.0	0.78077103113	0.0	3.03117464454	6.54862880641	8.33462115047	10.332688101	11.5357719588	23.5410981294	5.87535804116	5.63476889915	2.32596350313	3.67507844028
DDB_G0279471	0.440470169029	0.635563683129	0.534701023265	0.561292127448	0.288784470585	0.0	0.313706768766	0.0	0.962273881205	0.53528746145	0.0	0.0	0.393521814455	0.23444409551	0.680125702681	0.445666281794	0.371307322316	0.196839527151	0.444478513426
DDB_G0279473	2.84035919616	0.836296628287	3.60077301424	0.928185518073	1.75388380618	1.82373605763	2.01093859939	11.6785716226	31.8415376646	50.9284116506	63.8511293782	97.4788286155	155.492569309	150.660447888	130.392018073	268.900827293	239.240196725	199.838349885	103.017933474
DDB_G0279475	14.2691444068	2.52566958802	8.62871413166	12.3867900585	7.08538197843	6.87366634733	5.34850479591	6.47904098065	17.8512763541	18.8149763785	19.9952138822	9.17343564924	40.6918435358	61.797495088	68.337556881	58.4632612595	31.4546217628	36.1511542351	32.7323081307
