Gene	D. discoideum - 0h	D. discoideum - 4h	D. discoideum - 8h	D. discoideum - 12h	D. discoideum - 16h	D. discoideum - 20h	D. discoideum - 24h
DDB_G0267178	2.52638117966	2.54029354844	0.65274831283	1.88677609912	4.02179914534	3.82428675591	1.10060394777
DDB_G0267180	10.3335072453	5.61377892774	0.0	3.69502241662	1.70495652634	1.65787632455	4.30348509915
DDB_G0267182	24.7667086873	17.7473979432	2.98019942688	2.51735108191	3.29240411559	8.65797688271	13.3328045246
DDB_G0267184	0.52332181579	3.76224839599	0.0	1.17150022975	0.445658918477	3.95742455066	3.8784371124
DDB_G0267186	0.0	0.0	0.0	2.16536823681	3.2838025572	3.88292086541	1.68995995938
DDB_G0267188	1.96534669257	5.77656278276	2.50637296061	3.17197141302	2.0689215404	8.03654463198	10.9438484516
DDB_G0267190	0.0	0.0	0.0	0.0	0.0	0.0	0.929099331795
DDB_G0267194	5.07528194417	0.0	0.0	0.68003299999	0.0	2.43885938653	1.58268666869
DDB_G0267196	0.0	1.21237773259	0.620645936785	0.0	0.0	0.0	0.695555237465
DDB_G0267198	0.0	0.0	0.0	0.0	0.0	1.3260292671	0.0
DDB_G0267202	0.0	0.0	0.479232938532	0.0	0.0	0.313323371129	0.0
DDB_G0267204	0.0	0.408000543366	0.53223136858	0.30030654379	0.0	0.0	0.464549665898
DDB_G0267206	1.29136735241	2.462875826	2.06032690849	1.46084270635	1.00271983125	2.49797232003	5.89676281746
DDB_G0267208	5.4270410526	10.2365133831	2.76287265078	4.86368949996	2.81002094157	5.4791372925	8.98702962911
DDB_G0267210	8.65193665297	12.1851577813	2.11940412675	3.01447723085	3.95648087695	7.63103091204	8.06137864276
DDB_G0267212	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267216	0.307617767648	0.367737331849	0.0	0.0	0.0	0.0	0.0
DDB_G0267218	0.0	0.0	0.721937598965	0.407346499993	1.98668378808	2.19135137948	1.89039517509
DDB_G0267220	0.0	0.0	0.0	0.710000139245	0.0	0.0	0.0
DDB_G0267222	0.0	0.0	0.286813652606	0.0	0.69829704045	0.372603517388	0.0
DDB_G0267224	0.0	0.188202270846	0.0	0.0	0.0	0.9936093797	0.0
DDB_G0267226	0.561418039925	0.0	0.0	0.314195463919	0.0	0.0	0.0
DDB_G0267228	0.0	0.0	0.0	0.0	0.387529494328	0.230613785583	0.0
DDB_G0267230	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267236	18.8605660461	13.5556982714	1.68149791043	2.7256309519	4.16296810365	3.68147106793	15.8877651028
DDB_G0267238	26.2850921891	12.2285314044	6.09771190677	3.01447723085	5.76992496751	7.47619686673	12.3195991311
DDB_G0267240	4.41576982207	4.72576002477	3.79324066201	1.74902734699	3.49549273019	3.59665896101	6.78979502884
DDB_G0267242	0.0	2.43026410614	2.11349847813	1.19252163766	1.80847097352	2.13842018674	5.53420036765
DDB_G0267244	12.5240368229	17.6658952984	6.70886900232	7.07420788501	8.6489251119	10.8493338117	21.4816105756
DDB_G0267246	16.6194197433	8.18157291805	2.8538098339	6.94178911612	2.2918278857	4.16994747606	7.18727862367
DDB_G0267248	3.61802736841	11.6039287567	7.80737542319	8.1268141233	4.35057028939	10.9297031767	11.0284809396
DDB_G0267250	0.0	0.0	1.88169541924	0.53086447096	0.97897503771	1.43102343125	0.82120392552
DDB_G0267252	1.25239408907	0.477744225992	2.21717608054	0.700897573355	1.29693274226	0.0	1.08791973039
DDB_G0267254	0.0	0.0	1.18562109749	0.66670744783	5.88821152166	2.99900392043	0.0
DDB_G0267258	17.8479505585	27.5444454014	10.6724227557	8.21600032583	9.18974684729	15.8185982195	19.3352841784
DDB_G0267260	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDB_G0267262	1.31893357025	3.34055015412	3.02787028244	2.71112626965	0.416871238584	4.87491498556	8.06495723539
DDB_G0267264	2.28953294407	5.18653283196	2.27861554674	1.2813283763	1.94975776834	1.16027560871	0.0
